id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1628887707249254401,1628887707249254401,2023-02-24 04:11:07 IST,2023-02-24,04:11:07,+0530,4822796069,brooksyburger,BBurger,,Fake people are like parasites. They'll cling onto you and suck the life out of you until there's nothing left. Don't let these manipulators get the best of you. Stay true to yourself and don't let anyone take advantage of your kindness. #NoMoreFakePeople #StandStrong,en,[],[],[],4,0,6,"['nomorefakepeople', 'standstrong']",[],https://twitter.com/brooksyburger/status/1628887707249254401,False,,0,,,,,,,,[],,,,
1628807500270129152,1628455899047112705,2023-02-23 22:52:24 IST,2023-02-23,22:52:24,+0530,1563282372992258050,shakakahn4,Shaka Kahn,,@BryanDGriffin @NBCNews @MSNBC @GovRonDeSantis @mitchellreports Good. #Standstrong,en,[],[],[],0,0,1,['standstrong'],[],https://twitter.com/ShakaKahn4/status/1628807500270129152,False,,0,,,,,,,,"[{'screen_name': 'BryanDGriffin', 'name': 'Bryan Griffin', 'id': '85731130'}, {'screen_name': 'NBCNews', 'name': 'NBC News', 'id': '14173315'}, {'screen_name': 'MSNBC', 'name': 'MSNBC', 'id': '2836421'}, {'screen_name': 'GovRonDeSantis', 'name': 'Ron DeSantis', 'id': '1058807868'}, {'screen_name': 'mitchellreports', 'name': 'Andrea Mitchell', 'id': '89820928'}]",,,,
1628716759187349504,1628716759187349504,2023-02-23 16:51:50 IST,2023-02-23,16:51:50,+0530,1610589526073696259,pkfwindsor1,PKFWINDSOR,,#homeedwindsor #homeducation #oxford #english #windsorlife #talentedkids #educatedfamily #educatedmother #masterdegree #sussexuni #familyiseverything #britishfamily #authentic #putyourselffirst #standstrong #believeinyourself #23february2023❤️  https://t.co/m3YItw5xHl,und,[],['https://www.instagram.com/p/CpAH8T7o70gDJW7QGG5pPYn-PJjHIKa7j12Hfs0/?igshid=MDJmNzVkMjY='],[],0,0,0,"['homeedwindsor', 'homeducation', 'oxford', 'english', 'windsorlife', 'talentedkids', 'educatedfamily', 'educatedmother', 'masterdegree', 'sussexuni', 'familyiseverything', 'britishfamily', 'authentic', 'putyourselffirst', 'standstrong', 'believeinyourself', '23february2023']",[],https://twitter.com/pkfwindsor1/status/1628716759187349504,False,,0,,,,,,,,[],,,,
1628688869850857473,1628688869850857473,2023-02-23 15:01:00 IST,2023-02-23,15:01:00,+0530,1180511205036904448,orlaghreidpsych,Orlagh Reid,,"Coming to the end of my walk 80km in February for @Womens_Aid. #Standstrong for women experiencing ALL abuse in Ireland, support using donation link in bio. @StalkingIreland @WomensInspireIE  https://t.co/6Gu42fvYJ9",en,"[{'screen_name': 'womens_aid', 'name': ""women's aid ireland"", 'id': '44591137'}, {'screen_name': 'stalkingireland', 'name': 'stalking in ireland', 'id': '1427960225814953984'}, {'screen_name': 'womensinspireie', 'name': 'womens inspire network', 'id': '2494401560'}]",[],['https://pbs.twimg.com/media/FppD3ffXgAA8oWR.jpg'],0,0,4,['standstrong'],[],https://twitter.com/orlaghreidpsych/status/1628688869850857473,False,,1,https://pbs.twimg.com/media/FppD3ffXgAA8oWR.jpg,,,,,,,[],,,,
1628631640460169216,1628479157654130689,2023-02-23 11:13:36 IST,2023-02-23,11:13:36,+0530,1147586875206590464,kathygoeswild1,Kathygoeswild,,@JerasIkehorn #standstrong 🖐,und,[],[],[],0,0,1,['standstrong'],[],https://twitter.com/Kathygoeswild1/status/1628631640460169216,False,,0,,,,,,,,"[{'screen_name': 'JerasIkehorn', 'name': 'Jeras Ikehorn', 'id': '936788589622435842'}]",,,,
1628592254314217472,1628592254314217472,2023-02-23 08:37:05 IST,2023-02-23,08:37:05,+0530,1516901871381667840,sams1kanyesigye,Samson kan Holyboy,,"Big sam jhs rest bro, we shall push one more time, God shall see you through. #standstrong ✌️✌️✌️",en,[],[],[],0,0,2,['standstrong'],[],https://twitter.com/Sams1Kanyesigye/status/1628592254314217472,False,,0,,,,,,,,[],,,,
1628591941368655872,1628591941368655872,2023-02-23 08:35:51 IST,2023-02-23,08:35:51,+0530,723724519786057732,zionshelp,Zion's Help,,Stand Strong! #ZionsHelp #Wordoftheday #WordsofWisdom #StandStrong #Foundation #DontPanic  https://t.co/FDKTG6GBWY,en,[],[],['https://pbs.twimg.com/media/FpnrvZEXsAMJjel.jpg'],0,0,0,"['zionshelp', 'wordoftheday', 'wordsofwisdom', 'standstrong', 'foundation', 'dontpanic']",[],https://twitter.com/ZionsHelp/status/1628591941368655872,False,,1,https://pbs.twimg.com/media/FpnrvZEXsAMJjel.jpg,,,,,,,[],,,,
1628564474985684992,1628479157654130689,2023-02-23 06:46:42 IST,2023-02-23,06:46:42,+0530,521813424,nmaznio,Nancy Maznio☮️,,@JerasIkehorn ✋#StandStrong,und,[],[],[],0,0,1,['standstrong'],[],https://twitter.com/NMaznio/status/1628564474985684992,False,,0,,,,,,,,"[{'screen_name': 'JerasIkehorn', 'name': 'Jeras Ikehorn', 'id': '936788589622435842'}]",,,,
1628479232077889536,1628479232077889536,2023-02-23 01:07:59 IST,2023-02-23,01:07:59,+0530,936788589622435842,jerasikehorn,Jeras Ikehorn,,Raise your proud hand if you you still #StandStrong in your support of Ukraine! 🤚,en,[],[],[],12,6,44,['standstrong'],[],https://twitter.com/JerasIkehorn/status/1628479232077889536,False,,0,,,,,,,,[],,,,
1628479157654130689,1628479157654130689,2023-02-23 01:07:41 IST,2023-02-23,01:07:41,+0530,936788589622435842,jerasikehorn,Jeras Ikehorn,,Ask yourself this: do I still ‘#StandStrong with Ukraine’ after 1 year of war?!  If you do… Raise your proud hand stating you still #StandStrong in your support of Ukraine! 🤚,en,[],[],[],15,15,52,"['standstrong', 'standstrong']",[],https://twitter.com/JerasIkehorn/status/1628479157654130689,False,,0,,,,,,,,[],,,,
